herramienta,tipo,hallazgo,severidad,iso27001,cobit2019
Lynis,Suggestion,BOOT-5180|Determine runlevel and services at startup|-|-|,Suggestion,A.8.9,DSS01.03
Lynis,Suggestion,KRNL-5788|Determine why /vmlinuz or /boot/vmlinuz is missing on this Debian/Ubuntu system.|/vmlinuz or /boot/vmlinuz|-|,Suggestion,Sin clasificar,Sin clasificar
Lynis,Suggestion,"KRNL-5820|If not required, consider explicit disabling of core dump in /etc/security/limits.conf file|-|-|",Suggestion,Sin clasificar,Sin clasificar
Lynis,Suggestion,AUTH-9262|Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc or libpam-passwdqc|-|-|,Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,AUTH-9284|Look at the locked accounts and consider removing them|-|-|,Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,AUTH-9286|Configure minimum password age in /etc/login.defs|-|-|,Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,AUTH-9286|Configure maximum password age in /etc/login.defs|-|-|,Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,"AUTH-9328|Default umask in /etc/login.defs could not be found and defaults usually to 022, which could be more strict like 027|-|-|",Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,"FILE-6310|To decrease the impact of a full /home file system, place /home on a separate partition|-|-|",Suggestion,A.8.9,BAI10.02
Lynis,Suggestion,"FILE-6310|To decrease the impact of a full /tmp file system, place /tmp on a separate partition|-|-|",Suggestion,A.8.9,BAI10.02
Lynis,Suggestion,"FILE-6310|To decrease the impact of a full /var file system, place /var on a separate partition|-|-|",Suggestion,A.8.9,BAI10.02
Lynis,Suggestion,"USB-1000|Disable drivers like USB storage when not used, to prevent unauthorized storage or data theft|-|-|",Suggestion,A.5.17,DSS05.04
Lynis,Suggestion,"STRG-1846|Disable drivers like firewire storage when not used, to prevent unauthorized storage or data theft|-|-|",Suggestion,A.5.17,DSS05.04
